Session: 402,Game:,Targets,User:,Survivor2
Game No.:,1
Day:,10,Month:,Mar,Year:,2017

Cols:,3,Rows:,3,Target Scale:,1,Score:,1
Max Reach Distance:,10,Min Reach Distance:,10


,,,,,,,,,,,,,,,,,RAW DATA

Target Index:,Target Distance:,Extend Time:,Retract Time:,Assisted?,Hit?,Accuracy:,Points:,Target Position [X|Y], Hit Position [X|Y],,,Elbow Angle,Shoulder->Wrist Distance,Shoulder->Wrist Angle (H),Shoulder->Wrist Angle (V),Wrist Position (L) [X|Y|Z],Elbow Position (L) [X|Y|Z],Shoulder Position (L) [X|Y|Z],Chest Position [X|Y|Z],Shoulder Position (R) [X|Y|Z],Elbow Position (R) [X|Y|Z],Wrist Position (R) [X|Y|Z],Time
6,0,0.000,0.017,False,False,-19,-1,-0.200 | 0.200,-0.096 | 0.246,,,82.903,0.274,-62.728,115.866,-0.244 | 1.151 | -1.066,-0.334 | 0.984 | -1.105,-0.128 | 0.910 | -1.127,0.003 | 0.753 | -1.172,0.172 | 0.867 | -1.203,0.182 | 0.642 | -1.241,0.146 | 0.786 | -1.064,2017-03-10 10:14:24
7,0,0.209,0.021,False,False,14,2,0.000 | 0.200,-0.065 | 0.249,,,77.610,0.251,-75.965,112.049,-0.223 | 1.148 | -1.111,-0.328 | 1.010 | -1.099,-0.130 | 0.917 | -1.134,0.003 | 0.755 | -1.175,0.172 | 0.869 | -1.203,0.181 | 0.644 | -1.242,0.136 | 0.750 | -1.050,2017-03-10 10:14:24
8,0,0.000,1.026,False,False,-170,-17,0.200 | 0.200,-0.049 | 0.263,,,51.809,0.189,-62.741,110.436,-0.180 | 1.088 | -1.074,-0.322 | 0.917 | -1.072,-0.115 | 0.913 | -1.108,0.015 | 0.752 | -1.167,0.160 | 0.884 | -1.173,0.153 | 0.791 | -0.999,0.146 | 0.813 | -0.982,2017-03-10 10:14:25
5,0,0.000,0.017,False,False,-225,-22,0.200 | 0.000,-0.028 | 0.208,,,51.809,0.189,-62.741,110.436,-0.180 | 1.088 | -1.074,-0.322 | 0.917 | -1.072,-0.115 | 0.913 | -1.108,0.015 | 0.752 | -1.167,0.160 | 0.884 | -1.173,0.153 | 0.791 | -0.999,0.146 | 0.813 | -0.982,2017-03-10 10:14:25
4,0,0.000,0.023,False,False,-120,-12,0.000 | 0.000,-0.028 | 0.208,,,52.047,0.196,-93.372,108.968,-0.180 | 1.098 | -1.113,-0.325 | 0.917 | -1.081,-0.116 | 0.912 | -1.109,0.015 | 0.753 | -1.167,0.160 | 0.885 | -1.173,0.153 | 0.793 | -0.999,0.149 | 0.799 | -0.986,2017-03-10 10:14:25
3,0,0.000,0.021,False,False,-173,-17,-0.200 | 0.000,-0.040 | 0.204,,,52.829,0.195,-101.725,111.034,-0.189 | 1.094 | -1.128,-0.326 | 0.916 | -1.088,-0.119 | 0.913 | -1.113,0.015 | 0.753 | -1.167,0.160 | 0.885 | -1.173,0.153 | 0.795 | -1.000,0.150 | 0.791 | -0.988,2017-03-10 10:14:25
0,0,0.000,0.017,False,False,-337,-33,-0.200 | -0.200,-0.047 | 0.186,,,52.829,0.195,-101.725,111.034,-0.189 | 1.094 | -1.128,-0.326 | 0.916 | -1.088,-0.119 | 0.913 | -1.113,0.015 | 0.753 | -1.167,0.160 | 0.885 | -1.173,0.153 | 0.795 | -1.000,0.150 | 0.791 | -0.988,2017-03-10 10:14:25
1,0,0.000,0.022,False,False,-309,-30,0.000 | -0.200,-0.047 | 0.186,,,52.236,0.189,-103.353,112.668,-0.195 | 1.087 | -1.134,-0.327 | 0.915 | -1.096,-0.122 | 0.914 | -1.117,0.015 | 0.754 | -1.167,0.160 | 0.886 | -1.173,0.153 | 0.796 | -1.000,0.151 | 0.784 | -0.990,2017-03-10 10:14:25
2,0,0.017,0.020,False,False,-362,-36,0.200 | -0.200,-0.045 | 0.164,,,50.575,0.178,-101.872,114.102,-0.197 | 1.077 | -1.136,-0.328 | 0.913 | -1.102,-0.125 | 0.915 | -1.120,0.015 | 0.754 | -1.168,0.159 | 0.886 | -1.174,0.153 | 0.797 | -1.001,0.152 | 0.782 | -0.992,2017-03-10 10:14:25
4,0,0.000,0.024,False,False,-56,-5,0.000 | 0.000,-0.037 | 0.143,,,48.318,0.167,-98.736,114.863,-0.197 | 1.067 | -1.134,-0.328 | 0.911 | -1.109,-0.127 | 0.916 | -1.123,0.015 | 0.755 | -1.168,0.159 | 0.887 | -1.174,0.153 | 0.798 | -1.002,0.152 | 0.784 | -0.993,2017-03-10 10:14:25
