time;joint;pos_x;pos_y;poz_z
2.136;11;0.142;0.824;1.828
2.155;11;0.115;0.855;1.825
2.171;11;0.115;0.856;1.825
2.188;11;0.115;0.856;1.825
2.205;11;0.119;0.857;1.825
2.221;11;0.119;0.857;1.825
2.237;11;0.124;0.859;1.825
2.254;11;0.124;0.859;1.825
2.271;11;0.128;0.860;1.825
2.287;11;0.128;0.860;1.825
2.304;11;0.128;0.860;1.825
2.321;11;0.128;0.860;1.825
2.337;11;0.132;0.862;1.824
2.353;11;0.132;0.862;1.824
2.370;11;0.135;0.863;1.823
2.388;11;0.135;0.863;1.823
2.405;11;0.135;0.863;1.823
2.421;11;0.135;0.863;1.823
2.437;11;0.137;0.865;1.823
2.454;11;0.137;0.865;1.823
2.470;11;0.139;0.866;1.822
2.487;11;0.139;0.866;1.822
2.504;11;0.144;0.882;1.823
2.520;11;0.144;0.882;1.823
2.537;11;0.146;0.884;1.823
2.553;11;0.146;0.884;1.823
2.570;11;0.146;0.884;1.823
2.586;11;0.146;0.884;1.823
2.603;11;0.183;1.363;1.962
2.620;11;0.183;1.363;1.962
2.636;11;0.191;1.421;1.980
2.653;11;0.191;1.421;1.980
2.669;11;0.191;1.441;1.990
2.686;11;0.191;1.441;1.990
2.702;11;0.189;1.448;1.988
2.719;11;0.189;1.448;1.988
2.736;11;0.179;1.468;1.991
2.752;11;0.179;1.468;1.991
2.769;11;0.175;1.471;1.992
2.785;11;0.175;1.471;1.992
2.802;11;0.170;1.472;1.991
2.818;11;0.170;1.472;1.991
2.835;11;0.166;1.448;1.983
2.851;11;0.166;1.448;1.983
2.868;11;0.163;1.439;1.981
2.899;11;0.163;1.439;1.981
2.916;11;0.161;1.434;1.980
2.932;11;0.160;1.430;1.979
2.949;11;0.160;1.430;1.979
2.966;11;0.162;1.423;1.978
2.982;11;0.162;1.423;1.978
2.999;11;0.162;1.422;1.980
3.015;11;0.162;1.422;1.980
3.032;11;0.164;1.419;1.980
3.048;11;0.164;1.419;1.980
3.065;11;0.166;1.417;1.980
3.081;11;0.166;1.417;1.980
3.098;11;0.168;1.415;1.981
3.114;11;0.168;1.415;1.981
3.131;11;0.170;1.414;1.982
3.148;11;0.170;1.414;1.982
3.164;11;0.171;1.413;1.984
3.181;11;0.171;1.413;1.984
3.197;11;0.173;1.413;1.986
3.214;11;0.173;1.413;1.986
3.231;11;0.174;1.412;1.988
3.247;11;0.174;1.412;1.988
3.264;11;0.174;1.412;1.989
3.292;11;0.175;1.411;1.990
3.309;11;0.175;1.411;1.990
3.325;11;0.175;1.411;1.990
3.342;11;0.175;1.410;1.990
3.358;11;0.175;1.410;1.990
3.384;11;0.176;1.410;1.989
3.406;11;0.180;1.410;1.976
3.423;11;0.180;1.410;1.976
3.439;11;0.189;1.415;1.946
3.456;11;0.189;1.415;1.946
3.473;11;0.196;1.425;1.909
3.489;11;0.196;1.425;1.909
3.506;11;0.203;1.438;1.868
3.522;11;0.203;1.438;1.868
3.539;11;0.208;1.456;1.829
3.555;11;0.208;1.456;1.829
3.572;11;0.211;1.475;1.787
3.589;11;0.211;1.475;1.787
3.605;11;0.211;1.475;1.787
3.621;11;0.211;1.475;1.787
3.638;11;0.211;1.508;1.719
3.655;11;0.211;1.508;1.719
3.671;11;0.209;1.538;1.655
3.688;11;0.209;1.538;1.655
3.704;11;0.206;1.561;1.597
3.722;11;0.206;1.561;1.597
3.739;11;0.203;1.579;1.542
3.755;11;0.203;1.579;1.542
3.772;11;0.203;1.579;1.542
3.788;11;0.203;1.579;1.542
3.805;11;0.205;1.589;1.465
3.822;11;0.205;1.589;1.465
3.841;11;0.210;1.590;1.411
3.857;11;0.210;1.590;1.411
3.899;11;0.214;1.591;1.374
3.917;11;0.214;1.591;1.374
3.941;11;0.215;1.590;1.363
3.959;11;0.216;1.589;1.354
3.979;11;0.216;1.589;1.354
3.996;11;0.216;1.588;1.347
4.015;11;0.216;1.588;1.347
4.035;11;0.215;1.584;1.351
4.052;11;0.215;1.584;1.351
4.071;11;0.215;1.582;1.358
4.089;11;0.215;1.582;1.358
4.110;11;0.214;1.579;1.363
4.129;11;0.213;1.578;1.367
4.146;11;0.213;1.578;1.367
4.170;11;0.213;1.576;1.370
4.187;11;0.213;1.576;1.370
4.205;11;0.212;1.575;1.372
4.226;11;0.212;1.575;1.372
4.245;11;0.212;1.574;1.374
4.264;11;0.213;1.574;1.375
4.284;11;0.213;1.574;1.375
4.305;11;0.213;1.573;1.378
4.325;11;0.213;1.573;1.378
4.346;11;0.213;1.572;1.381
4.365;11;0.212;1.572;1.389
4.408;11;0.208;1.575;1.412
4.431;11;0.204;1.575;1.453
4.450;11;0.204;1.575;1.453
4.472;11;0.198;1.574;1.502
4.495;11;0.194;1.568;1.561
4.516;11;0.194;1.568;1.561
4.540;11;0.193;1.555;1.627
4.565;11;0.195;1.539;1.691
4.587;11;0.195;1.539;1.691
4.611;11;0.201;1.519;1.756
4.633;11;0.206;1.495;1.809
4.655;11;0.206;1.495;1.809
4.678;11;0.209;1.472;1.857
4.702;11;0.211;1.449;1.897
4.723;11;0.211;1.449;1.897
4.762;11;0.202;1.420;1.962
4.783;11;0.202;1.420;1.962
4.807;11;0.197;1.404;1.997
4.831;11;0.195;1.394;2.016
4.854;11;0.195;1.394;2.016
4.893;11;0.193;1.363;2.030
4.915;11;0.192;1.358;2.037
4.939;11;0.192;1.358;2.037
4.965;11;0.192;1.354;2.042
4.989;11;0.192;1.354;2.042
5.013;11;0.192;1.356;2.042
5.038;11;0.192;1.361;2.040
5.060;11;0.192;1.367;2.037
5.083;11;0.192;1.367;2.037
5.099;11;0.192;1.363;2.033
5.116;11;0.192;1.363;2.033
5.132;11;0.192;1.359;2.030
5.149;11;0.192;1.359;2.030
5.166;11;0.192;1.357;2.026
5.182;11;0.192;1.357;2.026
5.199;11;0.192;1.355;2.024
5.215;11;0.192;1.355;2.024
5.232;11;0.192;1.353;2.022
5.248;11;0.192;1.353;2.022
5.265;11;0.192;1.353;2.021
5.282;11;0.192;1.353;2.021
5.298;11;0.192;1.352;2.020
5.315;11;0.192;1.352;2.020
5.331;11;0.192;1.352;2.019
5.348;11;0.192;1.352;2.019
5.364;11;0.192;1.352;2.018
5.392;11;0.192;1.352;2.018
5.409;11;0.192;1.352;2.018
5.425;11;0.192;1.352;2.018
5.442;11;0.191;1.352;2.017
5.459;11;0.191;1.352;2.017
5.475;11;0.191;1.352;2.017
5.492;11;0.191;1.352;2.016
5.508;11;0.191;1.352;2.016
5.525;11;0.191;1.352;2.016
5.541;11;0.191;1.352;2.016
5.558;11;0.191;1.352;2.016
5.575;11;0.191;1.352;2.016
5.592;11;0.191;1.352;2.016
5.609;11;0.191;1.352;2.016
5.626;11;0.191;1.352;2.016
5.642;11;0.191;1.352;2.016
5.659;11;0.191;1.352;2.016
5.675;11;0.191;1.352;2.016
5.692;11;0.191;1.352;2.016
5.709;11;0.190;1.353;2.016
5.725;11;0.190;1.353;2.016
5.742;11;0.190;1.353;2.016
5.758;11;0.190;1.353;2.016
5.775;11;0.190;1.353;2.016
5.791;11;0.190;1.353;2.016
5.808;11;0.190;1.353;2.016
5.824;11;0.190;1.353;2.016
5.841;11;0.190;1.353;2.016
5.868;11;0.190;1.353;2.016
5.915;11;0.190;1.354;2.016
